2022-08-21 10:29:18.220949, error, Request timed out
2022-08-21 10:29:32.755426, info, 32bytes from 10.10.0.1, icmp_seq=1, ttl=64, time=4 ms
2022-08-21 10:29:33.766418, info, 32bytes from 10.10.0.1, icmp_seq=2, ttl=64, time=1 ms
2022-08-21 10:29:34.778186, info, 32bytes from 10.10.0.1, icmp_seq=3, ttl=64, time=5 ms
2022-08-21 10:29:35.777208, info, 32bytes from 10.10.0.1, icmp_seq=4, ttl=64, time=3 ms
2022-08-21 10:29:36.785393, info, 32bytes from 10.10.0.1, icmp_seq=5, ttl=64, time=1 ms
2022-08-21 10:29:37.789883, info, 32bytes from 10.10.0.1, icmp_seq=6, ttl=64, time=1 ms
2022-08-21 10:29:38.801581, info, 32bytes from 10.10.0.1, icmp_seq=7, ttl=64, time=1 ms
2022-08-21 10:29:39.811443, info, 32bytes from 10.10.0.1, icmp_seq=8, ttl=64, time=1 ms
2022-08-21 10:29:40.818007, info, 32bytes from 10.10.0.1, icmp_seq=9, ttl=64, time=1 ms
2022-08-21 10:29:41.830293, info, 32bytes from 10.10.0.1, icmp_seq=10, ttl=64, time=4 ms
2022-08-21 10:29:42.840236, info, 32bytes from 10.10.0.1, icmp_seq=11, ttl=64, time=0 ms
2022-08-21 10:29:43.844413, info, 32bytes from 10.10.0.1, icmp_seq=12, ttl=64, time=1 ms
2022-08-21 10:29:44.853803, info, 32bytes from 10.10.0.1, icmp_seq=13, ttl=64, time=1 ms
2022-08-21 10:29:45.867479, info, 32bytes from 10.10.0.1, icmp_seq=14, ttl=64, time=4 ms
2022-08-21 10:29:46.874648, info, 32bytes from 10.10.0.1, icmp_seq=15, ttl=64, time=1 ms
2022-08-21 10:29:47.894720, info, 32bytes from 10.10.0.1, icmp_seq=16, ttl=64, time=10 ms
2022-08-21 10:29:48.901915, info, 32bytes from 10.10.0.1, icmp_seq=17, ttl=64, time=1 ms
2022-08-21 10:29:49.916979, info, 32bytes from 10.10.0.1, icmp_seq=18, ttl=64, time=1 ms
2022-08-21 10:29:50.924395, info, 32bytes from 10.10.0.1, icmp_seq=19, ttl=64, time=1 ms
2022-08-21 10:29:51.932910, info, 32bytes from 10.10.0.1, icmp_seq=20, ttl=64, time=1 ms
2022-08-21 10:29:52.940059, info, 32bytes from 10.10.0.1, icmp_seq=21, ttl=64, time=1 ms
2022-08-21 10:29:53.948950, info, 32bytes from 10.10.0.1, icmp_seq=22, ttl=64, time=1 ms
2022-08-21 10:29:54.956583, info, 32bytes from 10.10.0.1, icmp_seq=23, ttl=64, time=4 ms
2022-08-21 10:29:55.964696, info, 32bytes from 10.10.0.1, icmp_seq=24, ttl=64, time=1 ms
2022-08-21 10:29:56.974201, info, 32bytes from 10.10.0.1, icmp_seq=25, ttl=64, time=2 ms
2022-08-21 10:29:57.980707, info, 32bytes from 10.10.0.1, icmp_seq=26, ttl=64, time=1 ms
2022-08-21 10:29:58.983648, info, 32bytes from 10.10.0.1, icmp_seq=27, ttl=64, time=4 ms
2022-08-21 10:29:59.989617, info, 32bytes from 10.10.0.1, icmp_seq=28, ttl=64, time=1 ms
2022-08-21 10:30:01.001366, info, 32bytes from 10.10.0.1, icmp_seq=29, ttl=64, time=1 ms
2022-08-21 10:30:02.007320, info, 32bytes from 10.10.0.1, icmp_seq=30, ttl=64, time=1 ms
2022-08-21 10:30:03.017995, info, 32bytes from 10.10.0.1, icmp_seq=31, ttl=64, time=3 ms
2022-08-21 10:30:04.018610, info, 32bytes from 10.10.0.1, icmp_seq=32, ttl=64, time=2 ms
2022-08-21 10:30:05.023526, info, 32bytes from 10.10.0.1, icmp_seq=33, ttl=64, time=1 ms
2022-08-21 10:30:06.035539, info, 32bytes from 10.10.0.1, icmp_seq=34, ttl=64, time=4 ms
2022-08-21 10:30:07.629072, info, 32bytes from 10.10.0.1, icmp_seq=35, ttl=64, time=581 ms
2022-08-21 10:30:08.072423, info, 32bytes from 10.10.0.1, icmp_seq=36, ttl=64, time=10 ms
2022-08-21 10:30:09.065486, info, 32bytes from 10.10.0.1, icmp_seq=37, ttl=64, time=1 ms
2022-08-21 10:30:10.066918, info, 32bytes from 10.10.0.1, icmp_seq=38, ttl=64, time=0 ms
2022-08-21 10:30:11.070908, info, 32bytes from 10.10.0.1, icmp_seq=39, ttl=64, time=1 ms
2022-08-21 10:30:12.078759, info, 32bytes from 10.10.0.1, icmp_seq=40, ttl=64, time=1 ms
2022-08-21 10:30:13.834732, info, 32bytes from 10.10.0.1, icmp_seq=41, ttl=64, time=754 ms
2022-08-21 10:30:14.083598, info, 32bytes from 10.10.0.1, icmp_seq=42, ttl=64, time=1 ms
2022-08-21 10:30:15.099648, info, 32bytes from 10.10.0.1, icmp_seq=43, ttl=64, time=11 ms
2022-08-21 10:30:16.091801, info, 32bytes from 10.10.0.1, icmp_seq=44, ttl=64, time=1 ms
2022-08-21 10:30:17.098987, info, 32bytes from 10.10.0.1, icmp_seq=45, ttl=64, time=0 ms
2022-08-21 10:30:18.120917, info, 32bytes from 10.10.0.1, icmp_seq=46, ttl=64, time=7 ms
2022-08-21 10:30:19.128153, info, 32bytes from 10.10.0.1, icmp_seq=47, ttl=64, time=1 ms
2022-08-21 10:30:20.132362, info, 32bytes from 10.10.0.1, icmp_seq=48, ttl=64, time=1 ms
2022-08-21 10:30:21.137559, info, 32bytes from 10.10.0.1, icmp_seq=49, ttl=64, time=1 ms
2022-08-21 10:30:22.855104, info, 32bytes from 10.10.0.1, icmp_seq=50, ttl=64, time=711 ms
2022-08-21 10:30:23.149737, info, 32bytes from 10.10.0.1, icmp_seq=51, ttl=64, time=1 ms
2022-08-21 10:30:24.155437, info, 32bytes from 10.10.0.1, icmp_seq=52, ttl=64, time=2 ms
2022-08-21 10:30:25.159734, info, 32bytes from 10.10.0.1, icmp_seq=53, ttl=64, time=4 ms
2022-08-21 10:30:26.168409, info, 32bytes from 10.10.0.1, icmp_seq=54, ttl=64, time=1 ms
2022-08-21 10:30:27.172459, info, 32bytes from 10.10.0.1, icmp_seq=55, ttl=64, time=1 ms
2022-08-21 10:30:28.175489, info, 32bytes from 10.10.0.1, icmp_seq=56, ttl=64, time=1 ms
2022-08-21 10:30:29.192160, info, 32bytes from 10.10.0.1, icmp_seq=57, ttl=64, time=5 ms
2022-08-21 10:30:30.195256, info, 32bytes from 10.10.0.1, icmp_seq=58, ttl=64, time=1 ms
2022-08-21 10:30:31.201038, info, 32bytes from 10.10.0.1, icmp_seq=59, ttl=64, time=1 ms
2022-08-21 10:30:32.208566, info, 32bytes from 10.10.0.1, icmp_seq=60, ttl=64, time=1 ms
2022-08-21 10:30:33.210198, info, 32bytes from 10.10.0.1, icmp_seq=61, ttl=64, time=1 ms
2022-08-21 10:30:34.216675, info, 32bytes from 10.10.0.1, icmp_seq=62, ttl=64, time=1 ms
