2022-08-28 14:19:33.739494, info, 32bytes from 192.168.1.1, icmp_seq=1, ttl=63, time=1 ms
2022-08-28 14:19:34.743288, info, 32bytes from 192.168.1.1, icmp_seq=2, ttl=63, time=0 ms
2022-08-28 14:19:35.753482, info, 32bytes from 192.168.1.1, icmp_seq=3, ttl=63, time=2 ms
2022-08-28 14:19:36.769173, info, 32bytes from 192.168.1.1, icmp_seq=4, ttl=63, time=5 ms
2022-08-28 14:19:37.774811, info, 32bytes from 192.168.1.1, icmp_seq=5, ttl=63, time=1 ms
2022-08-28 14:20:29.206325, info, 32bytes from 192.168.1.1, icmp_seq=1, ttl=63, time=3 ms
2022-08-28 14:20:30.213337, info, 32bytes from 192.168.1.1, icmp_seq=2, ttl=63, time=1 ms
2022-08-28 14:20:31.226999, info, 32bytes from 192.168.1.1, icmp_seq=3, ttl=63, time=1 ms
2022-08-28 14:20:32.241399, info, 32bytes from 192.168.1.1, icmp_seq=4, ttl=63, time=2 ms
2022-08-28 14:20:33.256527, info, 32bytes from 192.168.1.1, icmp_seq=5, ttl=63, time=1 ms
2022-08-28 14:20:34.271649, info, 32bytes from 192.168.1.1, icmp_seq=6, ttl=63, time=2 ms
2022-08-28 14:20:35.283566, info, 32bytes from 192.168.1.1, icmp_seq=7, ttl=63, time=1 ms
2022-08-28 14:20:36.284731, info, 32bytes from 192.168.1.1, icmp_seq=8, ttl=63, time=2 ms
2022-08-28 14:20:37.291737, info, 32bytes from 192.168.1.1, icmp_seq=9, ttl=63, time=1 ms
2022-08-28 14:20:38.304770, info, 32bytes from 192.168.1.1, icmp_seq=10, ttl=63, time=2 ms
2022-08-28 14:20:39.316753, info, 32bytes from 192.168.1.1, icmp_seq=11, ttl=63, time=1 ms
2022-08-28 14:23:14.197568, info, 32bytes from 192.168.1.1, icmp_seq=1, ttl=64, time=2 ms
2022-08-28 14:23:15.205615, info, 32bytes from 192.168.1.1, icmp_seq=2, ttl=64, time=1 ms
2022-08-28 14:23:16.220750, info, 32bytes from 192.168.1.1, icmp_seq=3, ttl=64, time=1 ms
2022-08-28 14:23:17.234714, info, 32bytes from 192.168.1.1, icmp_seq=4, ttl=64, time=1 ms
2022-08-28 14:23:18.238314, info, 32bytes from 192.168.1.1, icmp_seq=5, ttl=64, time=1 ms
2022-08-28 14:23:19.243141, info, 32bytes from 192.168.1.1, icmp_seq=6, ttl=64, time=2 ms
2022-08-28 14:23:20.258343, info, 32bytes from 192.168.1.1, icmp_seq=7, ttl=64, time=5 ms
2022-08-28 14:23:21.267080, info, 32bytes from 192.168.1.1, icmp_seq=8, ttl=64, time=1 ms
2022-08-28 14:23:22.271331, info, 32bytes from 192.168.1.1, icmp_seq=9, ttl=64, time=1 ms
2022-08-28 14:23:23.277605, info, 32bytes from 192.168.1.1, icmp_seq=10, ttl=64, time=1 ms
2022-08-28 14:23:24.290405, info, 32bytes from 192.168.1.1, icmp_seq=11, ttl=64, time=1 ms
2022-08-28 14:23:25.301638, info, 32bytes from 192.168.1.1, icmp_seq=12, ttl=64, time=6 ms
2022-08-28 14:23:26.300539, info, 32bytes from 192.168.1.1, icmp_seq=13, ttl=64, time=1 ms
2022-08-28 14:23:27.305779, info, 32bytes from 192.168.1.1, icmp_seq=14, ttl=64, time=5 ms
2022-08-28 14:23:28.306615, info, 32bytes from 192.168.1.1, icmp_seq=15, ttl=64, time=1 ms
2022-08-28 14:23:29.312886, info, 32bytes from 192.168.1.1, icmp_seq=16, ttl=64, time=0 ms
2022-08-28 14:23:30.330521, info, 32bytes from 192.168.1.1, icmp_seq=17, ttl=64, time=2 ms
2022-08-28 14:23:31.344688, info, 32bytes from 192.168.1.1, icmp_seq=18, ttl=64, time=3 ms
2022-08-28 14:23:32.346425, info, 32bytes from 192.168.1.1, icmp_seq=19, ttl=64, time=0 ms
2022-08-28 14:23:33.354695, info, 32bytes from 192.168.1.1, icmp_seq=20, ttl=64, time=1 ms
2022-08-28 14:23:34.362943, info, 32bytes from 192.168.1.1, icmp_seq=21, ttl=64, time=2 ms
2022-08-28 14:23:35.365031, info, 32bytes from 192.168.1.1, icmp_seq=22, ttl=64, time=1 ms
2022-08-28 14:23:36.380398, info, 32bytes from 192.168.1.1, icmp_seq=23, ttl=64, time=1 ms
2022-08-28 14:23:37.396410, info, 32bytes from 192.168.1.1, icmp_seq=24, ttl=64, time=1 ms
